"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000127125","HAVANA","gene",NA,NA,"ENSG00000127125","protein_coding","PPCS","2","HGNC:25686","OTTHUMG00000007332.5"
"ENSG00000127129","HAVANA","gene",NA,NA,"ENSG00000127129","protein_coding","EDN2","2","HGNC:3177","OTTHUMG00000006362.2"
"ENSG00000127152","HAVANA","gene",NA,NA,"ENSG00000127152","protein_coding","BCL11B","2","HGNC:13222","OTTHUMG00000028967.4"
"ENSG00000127184","HAVANA","gene",NA,NA,"ENSG00000127184","protein_coding","COX7C","2","HGNC:2292","OTTHUMG00000119049.5"
"ENSG00000127191","HAVANA","gene",NA,NA,"ENSG00000127191","protein_coding","TRAF2","2","HGNC:12032","OTTHUMG00000020952.4"
"ENSG00000127220","HAVANA","gene",NA,NA,"ENSG00000127220","protein_coding","ABHD8","1","HGNC:23759","OTTHUMG00000182663.3"
"ENSG00000127241","HAVANA","gene",NA,NA,"ENSG00000127241","protein_coding","MASP1","1","HGNC:6901","OTTHUMG00000156461.4"
"ENSG00000127249","HAVANA","gene",NA,NA,"ENSG00000127249","protein_coding","ATP13A4","2","HGNC:25422","OTTHUMG00000074067.7"
"ENSG00000127252","HAVANA","gene",NA,NA,"ENSG00000127252","protein_coding","PLAAT1","2","HGNC:14922","OTTHUMG00000156104.4"
"ENSG00000127311","HAVANA","gene",NA,NA,"ENSG00000127311","protein_coding","HELB","2","HGNC:17196","OTTHUMG00000169006.2"
"ENSG00000127314","HAVANA","gene",NA,NA,"ENSG00000127314","protein_coding","RAP1B","2","HGNC:9857","OTTHUMG00000133660.8"
"ENSG00000127324","HAVANA","gene",NA,NA,"ENSG00000127324","protein_coding","TSPAN8","2","HGNC:11855","OTTHUMG00000169542.3"
"ENSG00000127325","HAVANA","gene",NA,NA,"ENSG00000127325","protein_coding","BEST3","1","HGNC:17105","OTTHUMG00000149919.7"
"ENSG00000127328","HAVANA","gene",NA,NA,"ENSG00000127328","protein_coding","RAB3IP","2","HGNC:16508","OTTHUMG00000169437.2"
"ENSG00000127329","HAVANA","gene",NA,NA,"ENSG00000127329","protein_coding","PTPRB","1","HGNC:9665","OTTHUMG00000169499.3"
"ENSG00000127334","HAVANA","gene",NA,NA,"ENSG00000127334","protein_coding","DYRK2","2","HGNC:3093","OTTHUMG00000169089.3"
"ENSG00000127337","HAVANA","gene",NA,NA,"ENSG00000127337","protein_coding","YEATS4","1","HGNC:24859","OTTHUMG00000169358.3"
